Subj	Num	Term	Title	Period Code	Instructor	WC	Dist	Xlist	Lang Req	NR Eligible or CT/NC
MATH	22	Fall	Linear Algebra w/Applicatns	11	Alex Wilson	N/A	QDS	N/A	N/A	NR Eligible
MATH	22	Winter	Linear Algebra w/Applicatns	10	Daniel Rockmore	N/A	QDS	N/A	N/A	NR Eligible
MATH	23	Spring	Differential Equations	9L	Yoonsang Lee	N/A	QDS	N/A	N/A	NR Eligible
MATH	23	Spring	Differential Equations	11	Bo Su Choi	N/A	QDS	N/A	N/A	NR Eligible
MATH	23	Fall	Differential Equations	11	Dylan Green	N/A	QDS	N/A	N/A	NR Eligible
MATH	23	Fall	Differential Equations	2	Longmei Shu	N/A	QDS	N/A	N/A	NR Eligible
MATH	23	Winter	Differential Equations	3B	Dimitrios Giannakis	N/A	QDS	N/A	N/A	NR Eligible
MATH	23	Winter	Differential Equations	2	Bo Su Choi	N/A	QDS	N/A	N/A	NR Eligible
MATH	24	Spring	Linear Algebra	2	Marcia Groszek	N/A	QDS	N/A	N/A	NR Eligible
MATH	24	Winter	Linear Algebra	12	Dana Williams	N/A	QDS	N/A	N/A	NR Eligible
MATH	25	Fall	Number Theory	10A	Avinash Kulkarni	N/A	QDS	N/A	N/A	NR Eligible
MATH	27	Spring	Adv Calc &Dynamcs Biol &Med	2A	Dimitrios Giannakis	N/A	QDS	N/A	N/A	NR Eligible
MATH	28	Winter	Intro Combinatorics	9L	Philip Hanlon	N/A	QDS	N/A	N/A	NR Eligible
MATH	29	Spring	Intro Computability	2	Justin Miller	N/A	QDS	N/A	N/A	NR Eligible
MATH	30.04	Spring	Evolutionary Game Theory	10	Olivia Chu	N/A	QDS	QSS 30.04 01	N/A	N/A
MATH	30.04	Spring	Evolutionary Game Theory	10	Feng Fu	N/A	QDS	QSS 30.04 02	N/A	N/A
MATH	31	Summer	Topics in Algebra	11	John Voight	N/A	QDS	N/A	N/A	NR Eligible
MATH	31	Fall	Topics in Algebra	11	Sarah Frei	N/A	QDS	N/A	N/A	NR Eligible
MATH	35	Winter	Real Analysis	2	John Trout	N/A	QDS	N/A	N/A	NR Eligible
MATH	36	Fall	Math Models in Social Sci	9L	Peter Mucha	N/A	TAS	N/A	N/A	NR Eligible
MATH	38	Spring	Graph Theory	9L	Nadia Lafreniere	N/A	QDS	N/A	N/A	NR Eligible
MATH	40	Winter	Probab/Statistics Inference	2	Yoonsang Lee	N/A	QDS	N/A	N/A	NR Eligible
MATH	43	Spring	Functns of Complex Variable	11	Dana Williams	N/A	QDS	N/A	N/A	NR Eligible
MATH	46	Spring	Intro to Applied Math	3B	Jan Glaubitz	N/A	TAS	N/A	N/A	NR Eligible
MATH	50	Fall	Intro to Linear Models	10A	Ethan Levien	N/A	TAS	N/A	N/A	NR Eligible
MATH	53	Fall	Partial Diff Equations	9L	Yoonsang Lee	N/A	QDS	N/A	N/A	N/A
MATH	54	Summer	Topology I	10	Ryan Maguire	N/A	QDS	N/A	N/A	NR Eligible
MATH	56	Winter	Computational Methods	10A	Anne Gelb	N/A	QDS	N/A	N/A	N/A
MATH	60	Spring	Probability: Honors	10A	Feng Fu	N/A	QDS	N/A	N/A	NR Eligible
MATH	63	Winter	Real Analysis	11	Johannes van Erp	N/A	QDS	N/A	N/A	NR Eligible
MATH	66	Spring	Topics in Modern Physics	11	John Trout	N/A	QDS	N/A	N/A	NR Eligible
MATH	69	Winter	Logic: Honors	2	Marcia Groszek	N/A	QDS	N/A	N/A	NR Eligible
MATH	70	Spring	Top:Mathematical Statistics	2	Eugene Demidenko	N/A	QDS	N/A	N/A	NR Eligible
MATH	71	Fall	Algebra	10	John Voight	N/A	QDS	N/A	N/A	NR Eligible
